sc,tc,variant,meaning-ar,pinyin-zh,pinyin-ar,example-1,pinyin-zh-1,pinyin-ar-1,example-2,pinyin-zh-2,pinyin-ar-2,example-3,pinyin-zh-3,pinyin-ar-3,example-4,pinyin-zh-4,pinyin-ar-4,example-5,pinyin-zh-5,pinyin-ar-5,colloquial-name,colloquial-pinyin-zh,colloquial-pinyin-ar
人,人,亻,إنسان / ناس,rén,رءن,今,jīn,جين,仁,rén,رءن,休,xiū,شيو,位,wèi,وي,他,tā,تآ,单人旁 / 人字头,dān rén páng,پآنڠ رءن دآن
口,口,,فم / فتحة,kǒu,كءو,古,gǔ,ڠو,可,kě,كه,名,míng,مينڠ,告,gào,ڠآو,吃,chī,تش,口字旁,kǒu zì páng,پآنڠ ز كءو
土,土,,أرض / تراب,tǔ,تو,在,zài,زآي,地,dì,دي,型,xíng,شينڠ,城,chéng,تشءنڠ,地,dì,دي,提土旁,tí tǔ páng,پآنڠ تو تي
女,女,,امرأة / أنثى,nǚ,نو,好,hǎo,حآو,妄,wàng,وآنڠ,始,shǐ,ش,姓,xìng,شينڠ,她,tā,تآ,女子旁,nǚ zǐ páng,پآنڠ ز نو
心,心,"忄, 小",قلب,xīn,شين,必,bì,بي,忙,máng,مآنڠ,忘,wàng,وآنڠ,性,xìng,شينڠ,想,xiǎng,شيآنڠ,竖心旁 / 心字底,shù xīn páng,پآنڠ شين شو
手,手,扌,يد,shǒu,شءو,持,chí,تش,掌,zhǎng,جآنڠ,打,dǎ,دآ,抱,bào,بآو,押,yā,يآ,提手旁 / 手字旁,tí shǒu páng,پآنڠ شءو تي
日,日,,شمس / يوم,rì,ر,早,zǎo,زآو,是,shì,ش,明,míng,مينڠ,时,shí,ش,晚,wǎn,وآن,日字旁,rì zì páng,پآنڠ ز ر
月,月,,قمر / شهر,yuè,يووه,有,yǒu,يو,服,fú,فو,青,qīng,تشينڠ,朝,cháo,تشآو,能,néng,نءنڠ,月字旁,yuè zì páng,پآنڠ ز يووه
木,木,,شجرة,mù,مو,板,bǎn,بآن,根,gēn,ڠءن,本,běn,بءن,林,lín,لين,来,lái,لآي,木字旁,mù zì páng,پآنڠ ز مو
水,水,"氵, 氺",ماء,shuǐ,شوي,永,yǒng,يونڠ,泳,yǒng,يونڠ,海,hǎi,حآي,洋,yáng,يآنڠ,沙,shā,شآ,三点水 / 水字旁,sān diǎn shuǐ,شوي ديآن سآن
火,火,灬,نار,huǒ,خووه,灯,dēng,دءنڠ,炎,yán,يآن,点,diǎn,ديآن,然,rán,رآن,炸,zhà,جآ,火字旁 / 四点底,huǒ zì páng,پآنڠ ز خووه
纟,糸,,حرير,mì,مي,纪,jì,جي,纸,zhǐ,ج,累,lěi,لءي,细,xì,شي,绩,jì,جي,绞丝旁,jiǎo sī páng,پآنڠ س جيآو
艹,艸,,عشب,cǎo,تسآو,花,huā,خوآ,英,yīng,ينڠ,苦,kǔ,كو,草,cǎo,تسآو,茶,chá,تشآ,草字头,cǎo zì tóu,تءو ز تسآو
讠,言,,كلام,yán,يآن,说,shuō,شووه,讲,jiǎng,جيآنڠ,识,shí,ش,评,píng,پينڠ,试,shì,ش,言字旁,yán zì páng,پآنڠ ز يآن
辶,辵,,مشي,chuò,تشووه,迎,yíng,ينڠ,通,tōng,تءونڠ,道,dào,دآو,这,zhè,جه,近,jìn,جين,走之旁,zǒu zhī páng,پآنڠ ج زءو
钅,金,,ذهب / معدن,jīn,جين,银,yín,ين,针,zhēn,جءن,钱,qián,تشيآن,铁,tiě,تيه,钟,zhōng,جءونڠ,金字旁,jīn zì páng,پآنڠ ز جين
刂,刀,刀,سكين,dāo,دآو,分,fēn,فءن,切,qiē,تشيه,别,bié,بيه,利,lì,لي,刻,kè,كه,立刀旁 / 刀字旁,lì dāo páng,پآنڠ دآو لي
宀,宀,,سقف,mián,ميآن,守,shǒu,شءو,家,jiā,جيآ,室,shì,ش,字,zì,ز,宅,zhái,جآي,宝盖头,bǎo gài tóu,تءو ڠآي بآو
贝,貝,,صدفة,bèi,بءي,财,cái,تسآي,贪,tān,تآن,货,huò,خووه,贸,mào,مآو,负,fù,فو,贝字旁,bèi zì páng,پآنڠ ز بءي
一,一,,واحد,yī,ي,三,sān,سآن,上,shàng,شآنڠ,下,xià,شيآ,不,bù,بو,两,liǎng,ليآنڠ,横,héng,خءنڠ
力,力,,قوة,lì,لي,力,lì,لي,加,jiā,جيآ,助,zhù,جو,勉,miǎn,ميآن,动,dòng,دءونڠ,力字旁,lì zì páng,پآنڠ ز لي
又,又,,يد يمنى,yòu,يو,反,fǎn,فآن,取,qǔ,تشوو,受,shòu,شءو,友,yǒu,يو,发,fā,فآ,又字旁,yòu zì páng,پآنڠ ز يو
犭,犬,犬,كلب,quǎn,تشووآن,犯,fàn,فآن,狂,kuáng,كوآنڠ,狗,gǒu,ڠءو,献,xiàn,شيآن,猪,zhū,جو,反犬旁,fǎn quǎn páng,پآنڠ تشووآن فآن
禾,禾,,حبوب / زرع,hé,خه,私,sī,س,科,kē,كه,秒,miǎo,ميآو,秀,xiù,شيو,秘,mì,مي,禾木旁,hé mù páng,پآنڠ مو خه
竹,竹,⺮,خيزران,zhú,جو,笑,xiào,شيآو,第,dì,دي,简,jiǎn,جيآن,筷,kuài,كوآي,算,suàn,سوآن,竹子头,zhú zì tóu,تءو ز جو
虫,虫,,حشرة,chóng,تشءونڠ,强,qiáng,تشيآنڠ,独,dú,دو,蛇,shé,شه,蛋,dàn,دآن,蚊,wén,ون,虫字旁,chóng zì páng,پآنڠ ز تشءونڠ
阝,阜,,تلة (يسار),fù,فو,防,fáng,فآنڠ,阻,zǔ,زو,陆,lù,لو,院,yuàn,يووآن,陈,chén,تشءن,双耳刀 (左),shuāng ěr dāo,دآو ءر شوآنڠ
大,大,,كبير,dà,دآ,天,tiān,تيآن,尖,jiān,جيآن,因,yīn,ين,奇,qí,تشي,美,měi,مءي,大字旁,dà zì páng,پآنڠ ز دآ
广,广,,منزل على منحدر,guǎng,ڠوآنڠ,店,diàn,ديآن,府,fǔ,فو,度,dù,دو,座,zuò,زووه,庭,tíng,تينڠ,广字旁,guǎng zì páng,پآنڠ ز ڠوآنڠ
田,田,,حقل,tián,تيآن,思,sī,س,留,liú,ليو,略,lüè,لووه,番,fān,فآن,累,lěi,لءي,田字旁,tián zì páng,پآنڠ ز تيآن
目,目,,عين,mù,مو,眼,yǎn,يآن,睛,jīng,جينڠ,看,kàn,كآن,相,xiāng,شيآنڠ,省,shěng,شءنڠ,目字旁,mù zì páng,پآنڠ ز مو
石,石,,حجر,shí,ش,砂,shā,شآ,破,pò,پووه,碑,bēi,بءي,矿,kuàng,كوآنڠ,码,mǎ,مآ,石字旁,shí zì páng,پآنڠ ز ش
衤,衣,,ملابس,yī,ي,初,chū,تشو,被,bèi,بءي,裁,cái,تسآي,裤,kù,كو,袜,wà,وآ,衣字旁,yī zì páng,پآنڠ ز ي
足,足,,قدم,zú,زو,跑,pǎo,پآو,跨,kuà,كوآ,跟,gēn,ڠءن,路,lù,لو,距,jù,جوو,足字旁,zú zì páng,پآنڠ ز زو
马,馬,,حصان,mǎ,مآ,码,mǎ,مآ,驾,jià,جيآ,骂,mà,مآ,驻,zhù,جو,妈,mā,مآ,马字旁,mǎ zì páng,پآنڠ ز مآ
页,頁,,ورقة / صفحة,yè,يه,顺,shùn,شون,须,xū,شوو,领,lǐng,لينڠ,预,yù,يوو,顶,dǐng,دينڠ,页字旁,yè zì páng,پآنڠ ز يه
巾,巾,,عمامة / وشاح,jīn,جين,市,shì,ش,布,bù,بو,帝,dì,دي,帐,zhàng,جآنڠ,帽,mào,مآو,巾字旁,jīn zì páng,پآنڠ ز جين
米,米,,أرز,mǐ,مي,类,lèi,لءي,粉,fěn,فءن,迷,mí,مي,粗,cū,تسو,糖,táng,تآنڠ,米字旁,mǐ zì páng,پآنڠ ز مي
车,車,,مركبة,chē,تشه,轮,lún,لون,软,ruǎn,روآن,军,jūn,جوون,较,jiào,جيآو,输,shū,شو,车字旁,chē zì páng,پآنڠ ز تشه
八,八,,ثمانية,bā,بآ,公,gōng,ڠءونڠ,分,fēn,فءن,趴,pā,پآ,兵,bīng,بينڠ,共,gòng,ڠءونڠ,八字旁,bā zì páng,پآنڠ ز بآ
尸,尸,,جثة,shī,ش,尺,chǐ,تش,局,jú,جوو,尾,wěi,وي,居,jū,جوو,展,zhǎn,جآن,尸字头,shī zì tóu,تءو ز ش
寸,寸,,بوصة,cùn,تسون,寺,sì,س,尊,zūn,زون,对,duì,دوي,射,shè,شه,付,fù,فو,寸字旁,cùn zì páng,پآنڠ ز تسون
山,山,,جبل,shān,شآن,岩,yán,يآن,岛,dǎo,دآو,岁,suì,سوي,岗,gǎng,ڠآنڠ,岔,chà,تشآ,山字旁,shān zì páng,پآنڠ ز شآن
攵,攴,支,نقر,pū,پو,收,shōu,شءو,改,gǎi,ڠآي,攻,gōng,ڠءونڠ,做,zuò,زووه,政,zhèng,جءنڠ,反文旁,fǎn wén páng,پآنڠ ون فآن
彳,彳,,خطوة,chì,تش,彼,bǐ,بي,很,hěn,خءن,律,lǜ,لو,微,wēi,وي,德,dé,ده,双人旁,shuāng rén páng,پآنڠ رءن شوآنڠ
十,十,,عشرة,shí,ش,什,shén,شءن,计,jì,جي,古,gǔ,ڠو,叶,yè,يه,早,zǎo,زآو,十字旁,shí zì páng,پآنڠ ز ش
工,工,,عمل,gōng,ڠءونڠ,左,zuǒ,زووه,江,jiāng,جيآنڠ,红,hóng,خءونڠ,巧,qiǎo,تشيآو,功,gōng,ڠءونڠ,工字旁,gōng zì páng,پآنڠ ز ڠءونڠ
方,方,,مربع,fāng,فآنڠ,放,fàng,فآنڠ,旅,lǚ,لو,族,zú,زو,仿,fǎng,فآنڠ,房,fáng,فآنڠ,方字旁,fāng zì páng,پآنڠ ز فآنڠ
门,門,,بوابة,mén,مءن,间,jiān,جيآن,闲,xián,شيآن,问,wèn,ون,闭,bì,بي,闻,wén,ون,门字框,mén zì kuàng,كوآنڠ ز مءن
饣,食,食,طعام,shí,ش,饭,fàn,فآن,饿,è,ه,饮,yǐn,ين,馆,guǎn,ڠوآن,饱,bǎo,بآو,食字旁,shí zì páng,پآنڠ ز ش
欠,欠,,نقص / تثاؤب,qiàn,تشيآن,欢,huān,خوآن,欧,ōu,ءو,欲,yù,يوو,次,cì,تس,歌,gē,ڠه,欠字旁,qiàn zì páng,پآنڠ ز تشيآن
儿,儿,,أرجل إنسان,ér,ءر,元,yuán,يووآن,四,sì,س,光,guāng,ڠوآنڠ,兄,xiōng,شيونڠ,充,chōng,تشءونڠ,儿座底,ér zuò dǐ,دي زووه ءر
冫,冫,,جليد,bīng,بينڠ,冬,dōng,دءونڠ,冷,lěng,لءنڠ,冻,dòng,دءونڠ,况,kuàng,كوآنڠ,净,jìng,جينڠ,两点水,liǎng diǎn shuǐ,شوي ديآن ليآنڠ
子,子,,طفل,zǐ,ز,字,zì,ز,学,xué,شووه,存,cún,تسون,孩,hái,حآي,季,jì,جي,子字旁,zǐ zì páng,پآنڠ ز ز
疒,疒,,مرض,nè,نه,病,bìng,بينڠ,痛,tòng,تءونڠ,疗,liáo,ليآو,疯,fēng,فءنڠ,瘦,shòu,شءو,病字旁,bìng zì páng,پآنڠ ز بينڠ
隹,隹,,طائر,zhuī,جوي,雀,què,تشووه,集,jí,جي,难,nán,نآن,雅,yǎ,يآ,谁,shuí,شوي,隹字旁,zhuī zì páng,پآنڠ ز جوي
斤,斤,,فأس,jīn,جين,所,suǒ,سووه,新,xīn,شين,听,tīng,تينڠ,近,jìn,جين,析,xī,شي,斤字旁,jīn zì páng,پآنڠ ز جين
亠,亠,,غطاء,tóu,تءو,亡,wáng,وآنڠ,交,jiāo,جيآو,京,jīng,جينڠ,产,chǎn,تشآن,亮,liàng,ليآنڠ,点横头,diǎn héng tóu,تءو خءنڠ ديآن
王,王,玉,يشم / ملك,yù / wáng,وآنڠ / يوو,主,zhǔ,جو,弄,nòng,نءونڠ,皇,huáng,خوآنڠ,理,lǐ,لي,现,xiàn,شيآن,王字旁,wáng zì páng,پآنڠ ز وآنڠ
白,白,,أبيض,bái,بآي,的,de,ده,皆,jiē,جيه,皇,huáng,خوآنڠ,怕,pà,پآ,迫,pò,پووه,白字旁,bái zì páng,پآنڠ ز بآي
立,立,,وقوف,lì,لي,音,yīn,ين,意,yì,ي,端,duān,دوآن,亲,qīn,تشين,位,wèi,وي,立字旁,lì zì páng,پآنڠ ز لي
羊,羊,"⺶, ⺷",خروف,yáng,يآنڠ,着,zhe,جه,样,yàng,يآنڠ,洋,yáng,يآنڠ,美,měi,مءي,鲜,xiān,شيآن,羊字旁,yáng zì páng,پآنڠ ز يآنڠ
艮,艮,,توقف,gèn,ڠءن,很,hěn,خءن,恨,hèn,خءن,恳,kěn,كءن,根,gēn,ڠءن,眼,yǎn,يآن,艮字旁,gèn zì páng,پآنڠ ز ڠءن
冖,冖,,غطاء,mì,مي,写,xiě,شيه,军,jūn,جوون,农,nóng,نءونڠ,深,shēn,شءن,荣,róng,رءونڠ,秃宝盖,tū bǎo gài,ڠآي بآو تو
厂,厂,,منحدر,hàn,حآن,厚,hòu,خءو,原,yuán,يووآن,厉,lì,لي,厅,tīng,تينڠ,厕,cè,تسه,厂字旁,chǎng zì páng,پآنڠ ز تشآنڠ
皿,皿,,صحن,mǐn,مين,盆,pén,پءن,监,jiān,جيآن,盟,méng,مءنڠ,盛,shèng,شءنڠ,盖,gài,ڠآي,皿字底,mǐn zì dǐ,دي ز مين
礻,示,示,روح / إشارة,shì,ش,社,shè,شه,神,shén,شءن,视,shì,ش,祝,zhù,جو,祥,xiáng,شيآنڠ,示字旁,shì zì páng,پآنڠ ز ش
穴,穴,,كهف,xué,شووه,空,kōng,كءونڠ,突,tū,تو,穷,qióng,تشيونڠ,究,jiū,جيو,窗,chuāng,تشوآنڠ,穴宝盖,xué bǎo gài,ڠآي بآو شووه
走,走,,ركض,zǒu,زءو,起,qǐ,تشي,超,chāo,تشآو,越,yuè,يووه,赶,gǎn,ڠآن,徒,tú,تو,走字旁,zǒu zì páng,پآنڠ ز زءو
雨,雨,,مطر,yǔ,يوو,雷,léi,لءي,雪,xuě,شووه,霜,shuāng,شوآنڠ,需,xū,شوو,露,lù,لو,雨字头,yǔ zì tóu,تءو ز يوو
囗,囗,,إحاطة,wéi,وي,回,huí,خوي,国,guó,ڠووه,因,yīn,ين,图,tú,تو,团,tuán,توآن,国字框,guó zì kuàng,كوآنڠ ز ڠووه
小,小,,صغير,xiǎo,شيآو,少,shǎo,شآو,肖,xiào,شيآو,尚,shàng,شآنڠ,尖,jiān,جيآن,尘,chén,تشءن,小字旁,xiǎo zì páng,پآنڠ ز شيآو
戈,戈,,رمح,gē,ڠه,成,chéng,تشءنڠ,式,shì,ش,战,zhàn,جآن,感,gǎn,ڠآن,我,wǒ,ووه,戈字旁,gē zì páng,پآنڠ ز ڠه
几,几,,طاولة,jī,جي,朵,duǒ,دووه,机,jī,جي,风,fēng,فءنڠ,凡,fán,فآن,凤,fèng,فءنڠ,几字旁,jī zì páng,پآنڠ ز جي
舌,舌,,لسان,shé,شه,乱,luàn,لوآن,适,shì,ش,话,huà,خوآ,舍,shè,شه,活,huó,خووه,舌字旁,shé zì páng,پآنڠ ز شه
干,干,,جاف,gān,ڠآن,平,píng,پينڠ,刊,kān,كآن,汗,hàn,حآن,旱,hàn,حآن,赶,gǎn,ڠآن,干字旁,gān zì páng,پآنڠ ز ڠآن
殳,殳,,سلاح,shū,شو,段,duàn,دوآن,没,méi,مءي,投,tóu,تءو,般,bān,بآن,设,shè,شه,殳字旁,shū zì páng,پآنڠ ز شو
夕,夕,,مساء,xī,شي,外,wài,وآي,多,duō,دووه,夜,yè,يه,名,míng,مينڠ,岁,suì,سوي,夕字旁,xī zì páng,پآنڠ ز شي
止,止,,توقف,zhǐ,ج,正,zhèng,جءنڠ,此,cǐ,تس,步,bù,بو,歪,wāi,وآي,址,zhǐ,ج,止字旁,zhǐ zì páng,پآنڠ ز ج
牛,牛,牜,بقرة,niú,نيو,告,gào,ڠآو,物,wù,و,解,jiě,جيه,特,tè,ته,件,jiàn,جيآن,牛字旁,niú zì páng,پآنڠ ز نيو
皮,皮,,جلد,pí,پي,披,pī,پي,彼,bǐ,بي,波,bō,بووه,破,pò,پووه,疲,pí,پي,皮字旁,pí zì páng,پآنڠ ز پي
耳,耳,,أذن,ěr,ءر,取,qǔ,تشوو,闻,wén,ون,职,zhí,ج,聪,cōng,تسءونڠ,联,lián,ليآن,耳字旁,ěr zì páng,پآنڠ ز ءر
辛,辛,,مر,xīn,شين,辜,gū,ڠو,辟,bì,بي,辣,là,لآ,辨,biàn,بيآن,辩,biàn,بيآن,辛字旁,xīn zì páng,پآنڠ ز شين
阝,邑,,مدينة (يمين),yì,ي,那,nà,نآ,邦,bāng,بآنڠ,部,bù,بو,都,dū,دو,邮,yóu,يو,双耳刀 (右),shuāng ěr dāo,دآو ءر شوآنڠ
酉,酉,,خمر,yǒu,يو,醉,zuì,زوي,酒,jiǔ,جيو,醒,xǐng,شينڠ,酸,suān,سوآن,尊,zūn,زون,酉字旁,yǒu zì páng,پآنڠ ز يو
青,青,,أزرق/أخضر,qīng,تشينڠ,请,qǐng,تشينڠ,清,qīng,تشينڠ,情,qíng,تشينڠ,晴,qíng,تشينڠ,猜,cāi,تسآي,青字旁,qīng zì páng,پآنڠ ز تشينڠ
鸟,鳥,,طائر,niǎo,نيآو,鸦,yā,يآ,鸣,míng,مينڠ,鸭,yā,يآ,岛,dǎo,دآو,鸡,jī,جي,鸟字旁,niǎo zì páng,پآنڠ ز نيآو
弓,弓,,قوس,gōng,ڠءونڠ,引,yǐn,ين,张,zhāng,جآنڠ,弱,ruò,رووه,第,dì,دي,强,qiáng,تشيآنڠ,弓字旁,gōng zì páng,پآنڠ ز ڠءونڠ
ム,ム,,خاص,sī,س,公,gōng,ڠءونڠ,勾,gōu,ڠءو,去,qù,تشوو,私,sī,س,云,yún,يوون,私字旁,sī zì páng,پآنڠ ز س
户,戶,,باب / منزل,hù,خو,所,suǒ,سووه,房,fáng,فآنڠ,炉,lú,لو,护,hù,خو,启,qǐ,تشي,户字旁,hù zì páng,پآنڠ ز خو
羽,羽,,ريش,yǔ,يوو,习,xí,شي,翻,fān,فآن,翅,chì,تش,塌,tā,تآ,扇,shàn,شآن,羽字旁,yǔ zì páng,پآنڠ ز يوو
舟,舟,,قارب,chuán,تشوآن,般,bān,بآن,船,chuán,تشوآن,航,háng,حآنڠ,盘,pán,پآن,艇,tǐng,تينڠ,舟字旁,zhōu zì páng,پآنڠ ز جءو
里,里,,قرية / ميل,lǐ,لي,野,yě,يه,重,zhòng,جءونڠ,量,liàng,ليآنڠ,理,lǐ,لي,埋,mái,مآي,里字旁,lǐ zì páng,پآنڠ ز لي
匕,匕,,ملعقة,bǐ,بي,匙,chí,تش,比,bǐ,بي,北,běi,بءي,呢,ne,نه,旨,zhǐ,ج,匕字旁,bǐ zì páng,پآنڠ ز بي
夂,夂,,مشي ببطء,suī,سوي,各,gè,ڠه,条,tiáo,تيآو,复,fù,فو,备,bèi,بءي,夏,xià,شيآ,折文旁,zhé wén páng,پآنڠ ون جه
见,見,,يرى,jiàn,جيآن,观,guān,ڠوآن,规,guī,ڠوي,视,shì,ش,现,xiàn,شيآن,觉,jué,جووه,见字旁,jiàn zì páng,پآنڠ ز جيآن
卩,卩,,ختم,jié,جيه,卷,juǎn,جووآن,印,yìn,ين,却,què,تشووه,即,jí,جي,危,wēi,وي,单耳刀,dān ěr dāo,دآو ءر دآن
网,网,罒,شبكة,wǎng,وآنڠ,罗,luó,لووه,罚,fá,فآ,罢,bà,بآ,罪,zuì,زوي,罩,zhào,جآو,四字头,sì zì tóu,تءو ز س
士,士,,عالم / طالب,shì,ش,吉,jí,جي,壶,hú,خو,志,zhì,ج,声,shēng,شءنڠ,壮,zhuàng,جوآنڠ,士字旁,shì zì páng,پآنڠ ز ش
勹,勹,,لف / احتضان,bāo,بآو,包,bāo,بآو,勿,wù,و,勾,gōu,ڠءو,勺,sháo,شآو,匀,yún,يوون,包字头,bāo zì tóu,تءو ز بآو