char,pinyin,arabic,translation
这,zhè,جه,هذا
门,mén,مءن,باب
衣,yī,ي,ثوب / لباس
服,fu,فو,ملابس
桌,zhuō,ز جووه,طاولة
子,zi,ز,(لاحقة اسمية)
学,xué,شوه,تعلم / يدرس
习,xí,سي,ممارسة / تدريب
能,néng,نءنغ,يستطيع / يقدر
包,bāo,بآو,حقيبة
足,zú,زو,قدم
球,qiú,تشيو,كرة
打,dǎ,دآ,يضرب
岁,suì,سوي,عمر / سنة
中,zhōng,جونغ,وسط / صيني
文,wén,ون,لغة / نص
门,mén,مءن,باب
口,kǒu,كئو,مدخل / فم
我,wǒ,ووه,أنا
楼,lóu,لءو,طابق / مبنى
踢,tī,تي,يركل
会,huì,خوي,يستطيع / يعرف
她,tā,تآ,هي
多,duō,دووه,كثير
少,shao,شآو,قليل
右,yòu,يو,يمين
里,lǐ,لي,داخل
在,zài,زآي,في (حرف جر)
书,shū,شو,كتاب
你,nǐ,ني,أنت
几,jǐ,جي,كم (للعدد القليل)
他,tā,تآ,هو
说,shuō,شووه,يقول
篮,lán,لآن,سلة
球,qiú,تشيو,كرة
下,xià,شياً,أسفل / ينزل
雨,yǔ,يوو,مطر
上,shàng,شآنغ,فوق / أعلى